Numot,Season,game_id,result,season,team1_adjde,team1_adjoe,team1_adjtempo,team1_ap_final,team1_ap_preseason,team1_arate,team1_blockpct,team1_coach_name,team1_coaches_before_final,team1_coaches_preseason,team1_de,team1_f3grate,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_id,team1_lat,team1_long,team1_oe,team1_opparate,team1_oppblockpct,team1_oppf3grate,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppstlrate,team1_pt_career_overall_losses,team1_pt_career_school_losses,team1_pt_career_school_wins,team1_pt_coach_season_losses,team1_pt_coach_season_wins,team1_pt_overall_ff,team1_pt_overall_ncaa,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_school_ncaa,team1_pt_school_s16,team1_pt_team_season_losses,team1_pt_team_season_wins,team1_rpi_rating,team1_seed,team1_stlrate,team1_teamname,team1_tempo,team2_adjde,team2_adjoe,team2_adjtempo,team2_ap_preseason,team2_arate,team2_blockpct,team2_coach_id,team2_coach_name,team2_coaches_before_final,team2_coaches_preseason,team2_de,team2_f3grate,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_id,team2_oe,team2_opparate,team2_oppblockpct,team2_oppf3grate,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppstlrate,team2_pt_career_overall_losses,team2_pt_career_school_losses,team2_pt_career_school_wins,team2_pt_coach_season_losses,team2_pt_coach_season_wins,team2_pt_overall_ff,team2_pt_overall_ncaa,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_school_ncaa,team2_pt_school_s16,team2_pt_team_season_losses,team2_pt_team_season_wins,team2_rpi_rating,team2_score,team2_seed,team2_stlrate,team2_tempo,team1_pt_career_overall_wins,team2_pt_career_overall_wins
0,2002,2002-1104-1194,1,2002,93.877,111.4954,69.9001,8,24,50.5495,8.0468,Mark Gottfried,8,24,95.2313,33.945,50.6579,30.8677,73.5782,1104,33.2144,-87.545766,108.4361,46.988,7.1637,32.7925,45.2085,31.7841,68.2422,0.0881,73,49,149,7,26,0,2,0,0,0,0,7,26,0.637,2,0.1053,Alabama,69.8636,99.9263,96.8669,71.2446,,56.5968,8.1871,sidney-green-1,Sidney Green,,,98.4183,26.9051,45.0355,33.9114,66.7785,1194,100.2897,56.3399,9.9291,30.8891,48.538,34.3925,68.8172,0.1076,63,63,28,11,19,0,0,0,0,0,0,11,19,0.522,78,15,0.1282,71.2357,150,28
0,2002,2002-1112-1364,1,2002,96.9262,117.3877,72.8207,7,,56.4706,7.2512,Lute Olson,8,,104.0411,33.6275,50,37.6093,73.0769,1112,32.232071,-110.950769,111.0077,54.8255,8.4934,31.9731,47.8576,34.7826,70.1258,0.0839,239,144,656,9,22,5,22,10,4,17,8,9,22,0.635,3,0.0835,Arizona,74.1462,97.6704,105.4534,64.7948,,65.7778,8.7185,bob-williams-1,Bob Williams,,,96.0965,32.3549,47.0414,40.8247,75.8117,1364,105.2163,58.5246,6.7061,39.4402,43.1723,32.0968,69.3679,0.0778,52,52,62,10,20,0,0,0,0,0,0,10,20,0.55,81,14,0.0868,63.2345,658,62
0,2002,2002-1231-1428,1,2002,89.9224,109.6136,66.5739,,22,58.4949,12.5086,Mike Davis,,22,94.4987,33.0213,48.3696,40,69.4561,1231,39.166383,-86.526904,105.3974,48.2295,10.0155,27.359,42.8866,35.5839,66.4013,0.1075,24,24,41,11,20,0,1,0,0,1,0,11,20,0.611,5,0.1045,Indiana,65.7442,95.6459,108.6231,63.3547,,63.7224,7.3961,rick-majerus-1,Rick Majerus,,,97.4318,40.2778,50.306,40.4719,67.9443,1428,107.7123,51.5702,7.3439,27.6393,49.1388,31.8302,70.6406,0.0927,133,81,382,8,21,1,9,4,1,8,4,8,21,0.589,56,12,0.0922,62.6181,46,382
0,2002,2002-1242-1221,1,2002,90.5399,115.0406,79.1217,2,7,61.3288,12.2449,Roy Williams,2,7,94.4261,21.791,52.5627,41.0959,71.9128,1242,38.957351,-95.24587,114.5438,52.5424,9.1058,31.1622,41.8677,36.4754,68.1621,0.1094,92,92,384,3,29,2,12,7,2,12,7,3,29,0.673,1,0.1159,Kansas,79.0371,96.6499,96.6995,63.7588,,63.1124,9.3551,ralph-willard-1,Ralph Willard,,,92.2897,25.629,42.9583,33.79,69.153,1221,98.0754,64.4315,9.6774,32.6606,43.6876,38.3895,65.604,0.1047,164,40,194,14,18,0,3,1,0,1,0,14,18,0.498,59,16,0.1217,64.2138,388,194
0,2002,2002-1245-1329,1,2002,96.201,113.6686,66.1658,,,48.4721,5.4849,Stan Heath,,,96.7084,28.7894,50.7947,36.5812,73.1034,1245,41.146856,-81.342253,115.7547,50.6394,5.5978,32.9782,46.1844,32.4717,68.9051,0.0717,5,5,27,5,27,0,0,0,0,0,0,5,27,0.604,10,0.0974,Kent St.,65.4145,91.8988,104.227,67.3849,18,55.0898,8.641,eddie-sutton-1,Eddie Sutton,22,18,92.8097,27.3752,49.3718,32.7451,64.4068,1329,103.9347,51.0013,8.8692,30.7776,45.1689,30.742,68.231,0.0997,278,113,704,8,23,2,22,11,1,9,4,8,23,0.605,61,7,0.1124,68.8801,30,704
0,2002,2002-1246-1434,1,2002,91.1143,109.8256,69.3445,16,4,51.1682,12.3344,Tubby Smith,15,4,94.9881,34.8633,50.9105,31.5089,67.6948,1246,38.028081,-84.510698,105.2773,52.8477,7.8385,34.0611,45.1159,33.6538,67.9117,0.0987,104,42,254,9,20,1,8,6,1,4,3,9,20,0.613,4,0.1055,Kentucky,70.2659,96.7884,109.2741,70.2168,,63.9766,10.741,homer-drew-1,Homer Drew,,,94.0668,39.4558,51.0804,35.0133,67.3973,1434,110.5689,66.8857,6.3094,33.7196,45.2956,35.5155,65.8163,0.0957,184,184,235,7,25,0,5,1,0,5,1,7,25,0.55,68,13,0.1415,69.9092,256,235
0,2002,2002-1281-1274,1,2002,99.0919,112.3241,70.5889,,8,52.2793,9.7222,Quin Snyder,,8,101.992,37.0173,49.6829,39.0887,68.9704,1281,38.626527,-90.336949,112.716,54.8999,7.8224,25.4588,47.4747,36.414,66.8831,0.101,37,37,59,11,21,0,2,0,0,2,0,11,21,0.564,12,0.1029,Missouri,70.7578,93.5169,108.2862,70.2876,,64.1809,15.6766,perry-clark-1,Perry Clark,21,,93.077,35.9432,47.7441,34.5029,77.1386,1274,104.5566,53.183,9.9262,35.7029,45.0495,30.9064,67.4847,0.1028,165,20,225,7,24,0,3,0,0,0,0,7,24,0.607,80,5,0.1241,70.5375,62,225
0,2002,2002-1326-1172,1,2002,96.7318,115.5508,68.1862,14,,58.5455,6.8306,Jim O'Brien,12,,96.5748,27.3796,52.589,37.5536,67.5472,1326,39.998389,-83.009001,111.3386,54.8431,8.8997,34.4478,49.9089,32.0624,70.1149,0.0744,273,56,336,7,23,1,6,2,1,3,1,7,23,0.605,4,0.0904,Ohio St.,66.3782,95.7897,99.8067,66.7211,,61.6085,9.1155,bob-mckillop-1,Bob McKillop,,,97.679,39.3881,46.7928,34.6278,69.0299,1172,98.0026,48.1132,8.0967,32.3565,41.2455,33.7736,74.6711,0.1109,170,170,205,9,21,0,1,0,0,1,0,9,21,0.581,64,13,0.0898,68.8836,337,205
0,2002,2002-1332-1285,1,2002,95.8647,116.6486,72.3868,11,,57.085,7.0243,Ernie Kent,11,,96.8665,34.8814,52.352,42.2096,77.0784,1332,44.044515,-123.07398,116.3415,45.2563,6.6009,26.0274,46.4879,34.3013,67.9767,0.0927,137,57,181,8,23,0,2,0,0,1,0,8,23,0.593,2,0.099,Oregon,73.3053,104.8021,100.4848,70.0751,,59.4326,9.935,don-holst-1,Don Holst,,,105.0276,35.9795,50.9,34.8754,67.6471,1285,101.9545,60.4683,8.9,34.8063,47.0752,38.087,68.0758,0.0923,55,55,57,14,16,0,0,0,0,0,0,14,16,0.553,62,15,0.0755,70.0308,184,57
0,2002,2002-1409-1266,1,2002,98.0707,111.68,71.285,,,60.5603,11.2177,John Phillips,,,96.5354,31.7599,51.0526,40.2262,75.389,1409,36.151887,-95.945175,112.0819,51.9277,9.0226,29.9742,46.3469,34.8276,68.0251,0.0945,6,6,26,6,26,0,0,0,0,0,0,6,26,0.592,12,0.1094,Tulsa,71.3555,90.5247,110.5513,66.3464,,52.8129,10.0983,tom-crean-1,Tom Crean,10,,90.0151,24.7691,50.3971,37.9386,69.1667,1266,108.5643,59.4901,7.4368,36.3481,44.7721,32.0814,65.3716,0.0925,34,34,56,6,26,0,0,0,0,0,0,6,26,0.599,69,5,0.1259,67.3809,27,56
